    Finished `test` profile [unoptimized] target(s) in 4.01s
        PASS [   0.173s] (  71/8916) acb-governor types::tests::test_request_serde_roundtrip
        PASS [   0.174s] (  72/8916) acb-governor types::tests::test_status_serde_roundtrip
        PASS [   0.173s] (  73/8916) acb-governor types::tests::test_status_zero
        PASS [   0.173s] (  74/8916) acb-governor types::tests::test_switch_result_serde_roundtrip
        PASS [   0.174s] (  75/8916) acb-governor::cost_integration downgrade_controller_with_cost_model
        PASS [   0.189s] (  76/8916) acb-governor::cost_integration combined_downgrade_chain
        PASS [   0.174s] (  77/8916) acb-governor::cost_integration multi_channel_cost_accumulation
        PASS [   0.172s] (  78/8916) acb-governor::cost_integration peak_pricing_budget_control
        PASS [   0.174s] (  79/8916) acb-governor::cost_integration peak_pricing_three_phase_budget_control
        PASS [   0.173s] (  80/8916) acb-governor::cost_integration unlimited_budget_no_downgrade
        PASS [   0.189s] (  81/8916) acb-governor::proptest prop_consumption_never_exceeds_budget
        PASS [   0.180s] (  82/8916) acb-governor::proptest prop_tier_degrade_upgrade_monotonic
        PASS [   0.179s] (  83/8916) acb-governor::proptest prop_tier_limits_strictly_increasing
        PASS [   0.190s] (  84/8916) auto-dpo config::tests::test_default_values
        PASS [   0.183s] (  85/8916) auto-dpo config::tests::test_serde_roundtrip
        PASS [   0.183s] (  86/8916) auto-dpo config::tests::test_validate_margin_equal
        PASS [   0.183s] (  87/8916) auto-dpo config::tests::test_validate_max_margin_less_than_min
        PASS [   0.182s] (  88/8916) auto-dpo config::tests::test_validate_min_margin_negative
        PASS [   0.183s] (  89/8916) auto-dpo config::tests::test_validate_min_margin_zero
        PASS [   0.182s] (  90/8916) auto-dpo config::tests::test_validate_min_samples_too_small
        PASS [   0.169s] (  91/8916) auto-dpo config::tests::test_validate_ok
        PASS [   0.176s] (  92/8916) auto-dpo config::tests::test_validate_quality_threshold_negative
        PASS [   0.182s] (  93/8916) auto-dpo config::tests::test_validate_quality_threshold_out_of_range
        PASS [   0.185s] (  94/8916) auto-dpo config::tests::test_validate_zero_max_pairs
        PASS [   0.185s] (  95/8916) auto-dpo error::tests::test_config_error_display
        PASS [   0.185s] (  96/8916) auto-dpo error::tests::test_generation_failed_display
        PASS [   0.168s] (  97/8916) auto-dpo error::tests::test_insufficient_samples_display
        PASS [   0.179s] (  98/8916) auto-dpo error::tests::test_invalid_verdict_display
        PASS [   0.177s] (  99/8916) auto-dpo error::tests::test_judge_failed_display
        PASS [   0.171s] ( 100/8916) auto-dpo error::tests::test_quality_too_low_display
        PASS [   0.179s] ( 101/8916) auto-dpo error::tests::test_storage_error_display
        PASS [   0.183s] ( 102/8916) auto-dpo error::tests::test_storage_error_with_clv_dimension_mismatch
        PASS [   0.194s] ( 103/8916) auto-dpo formal::preference_consistency::tests::prop_asymmetry_holds_for_valid_pairs
        PASS [   0.197s] ( 104/8916) auto-dpo formal::preference_consistency::tests::prop_margin_bounded_soundness
        PASS [   0.185s] ( 105/8916) auto-dpo formal::preference_consistency::tests::test_asymmetry_satisfied
        PASS [   0.185s] ( 106/8916) auto-dpo formal::preference_consistency::tests::test_asymmetry_skipped_on_empty
        PASS [   0.186s] ( 107/8916) auto-dpo formal::preference_consistency::tests::test_asymmetry_violated_on_inversion
        PASS [   0.185s] ( 108/8916) auto-dpo formal::preference_consistency::tests::test_asymmetry_violated_on_tie
        PASS [   0.185s] ( 109/8916) auto-dpo formal::preference_consistency::tests::test_margin_bounded_satisfied
        PASS [   0.182s] ( 110/8916) auto-dpo formal::preference_consistency::tests::test_margin_invalid_bounds_skipped
        PASS [   0.180s] ( 111/8916) auto-dpo formal::preference_consistency::tests::test_margin_too_large_violated
        PASS [   0.180s] ( 112/8916) auto-dpo formal::preference_consistency::tests::test_margin_too_small_violated
        PASS [   0.181s] ( 113/8916) auto-dpo formal::preference_consistency::tests::test_no_self_preference_satisfied
        PASS [   0.179s] ( 114/8916) auto-dpo formal::preference_consistency::tests::test_self_preference_violated
        PASS [   0.181s] ( 115/8916) auto-dpo generator::tests::test_generate_insufficient_samples
